,,Shot Data,,,Corsi (5v5),,,Fenwick (5v5),,,Possession Quality,,,,,Scoring Chances,,,,,,,,,
15,Vegas Golden Knights*,7.2,0.922,99.4,4184,3515,54.3,3068,2595,54.2,196.1,168.3,173,162,-17,1796,1555,53.6,420,345,54.9,60,12.5,55,13.8
16,Dallas Stars*,6.4,0.939,100.3,3632,3887,48.3,2664,2836,48.4,175,170.8,136,134,-2,1633,1555,51.2,373,335,52.7,48,11.4,42,11.1
17,Colorado Avalanche*,7.1,0.928,99.9,3695,3716,49.9,2727,2701,50.2,175.7,167.1,157,154,-6,1618,1537,51.3,342,359,48.8,57,14.3,53,12.9
18,Arizona Coyotes,6.2,0.927,99,3738,3908,48.9,2769,2837,49.4,159.1,169.1,132,157,-15,1559,1585,49.6,365,380,49,30,7.6,59,13.4
19,Florida Panthers,7.3,0.914,98.7,3642,3730,49.4,2792,2795,50,162.4,173,162,190,-17,1523,1533,49.8,296,369,44.5,62,17.3,64,14.8
20,Chicago Blackhawks,7.9,0.925,100.4,3833,3940,49.3,2800,2988,48.4,174.2,205.7,183,185,30,1609,1866,46.3,300,436,40.8,47,13.5,69,13.7
21,Minnesota Wild,6.4,0.923,98.6,3812,3670,50.9,2868,2662,51.9,170.4,145.5,141,156,-40,1626,1386,54,358,279,56.2,48,11.8,46,14.2
22,Philadelphia Flyers,7.7,0.917,99.4,3698,3939,48.4,2739,2863,48.9,164.3,170.8,165,191,-20,1497,1571,48.8,357,364,49.5,76,17.6,61,14.4
23,Vancouver Canucks,7.2,0.923,99.5,3553,3863,47.9,2651,2867,48,150.6,181,146,175,1,1488,1716,46.4,295,361,45,38,11.4,60,14.3
24,Anaheim Ducks,6.9,0.931,99.9,3595,3957,47.6,2672,2984,47.2,151.9,186.6,136,154,17,1517,1771,46.1,294,397,42.5,37,11.2,59,12.9
25,Edmonton Oilers,7.1,0.921,99.3,3552,3850,48,2629,2876,47.8,162.5,174.6,146,179,-21,1527,1664,47.9,330,353,48.3,47,12.5,49,12.2
26,New York Rangers,7.2,0.925,99.7,3384,3960,46.1,2566,2969,46.4,167.7,185.4,145,173,-10,1506,1747,46.3,358,381,48.4,56,13.5,52,12
27,Buffalo Sabres,6.7,0.922,98.9,3754,3759,50,2913,2934,49.8,167.3,183.9,154,185,-14,1562,1662,48.4,303,338,47.3,54,15.1,57,14.4
28,Detroit Red Wings,7.2,0.925,99.8,3505,3937,47.1,2606,3024,46.3,157.3,190,147,178,2,1532,1738,46.9,293,387,43.1,42,12.5,53,12
29,New Jersey Devils,7.1,0.918,98.9,3386,3836,46.9,2632,2910,47.5,161.2,165.9,147,184,-32,1474,1527,49.1,307,306,50.1,53,14.7,56,15.5
30,Los Angeles Kings,7,0.924,99.4,3623,3911,48.1,2675,2939,47.6,149.5,171,141,170,-8,1547,1645,48.5,310,322,49.1,36,10.4,51,13.7
31,Ottawa Senators,8.1,0.915,99.6,3612,4422,45,2717,3251,45.5,165.6,192.9,172,219,-20,1529,1752,46.6,358,398,47.4,58,13.9,69,14.8
